DateValorisation;AliasPortefeuille;CodeValeur;PlaceCotationValeur;QuantitStock;ValeurBoursi;Gestionnaire;LibellGroupePortefeuille;LibellLongPortefeuille;LibellSteGstion;LibellLongGstion
31/12/2019;ATOMGBP;GB00B5L2N222;732;13759078.361;17130052.56;11;FORTIS/G.S.A.R;ASSURATOME0en0GBP;FORTIS/GSAR0USD;aviva0gestion
31/12/2019;ATOMUSD;US172967LC35;13;2000000;2023480;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US172967KV25;13;1500000;1506135;8;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;axa0im
31/12/2019;ATOMUSD;US06675GAF28;13;2000000;2010360;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US2027A1JP31;13;1800000;1796580;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US6325C1BJ78;13;1800000;1817280;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US89236TFQ31;13;2000000;2022980;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US06051GHH56;13;800000;814880;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;XS1871116171;13;1300000;1327170;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;US89233P5F99;13;2200000;2234188;7;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;groupama0aset0mangement
31/12/2019;ATOMUSD;XS1241945473;186;1000000;1001900;11;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;aviva0gestion
31/12/2019;ATOMUSD;US17325FAE88;186;2000000;2000930.8;11;FORTIS/G.S.A.R;0ASSURATOME00EN0DOLLAR0US;FORTIS/GSAR0USD;aviva0gestion
