CODE_ISIN;PLACE_DE_COTATION;CATEGORIE;ORGANISME;PRODUIT;STOCK;DATE_COURS;VALEUR_LIQUIDATIVE;CONTRE_VALEUR_EN_EUROS
LU1596575156;PARIS;OPC;BNPPIP;C295;22.63;31/12/2019;101.61;2299.85
LU0069452877;PARIS;OPC;FIDELI;C639;3817.78;31/12/2019;9.14;34894.54
IE0005315449;PARIS;OPC;MUZCO;C639;1877.66;31/12/2019;246.29;462449.14
FR0010871830;PARIS;OPC;MONAM;C639;1363.62;31/12/2019;143.97;196321.05
FR0011066802;PARIS;OPI;AMUIMM;C639;5096.29;31/12/2019;122.36;623581.95
FR0013397049;PARIS;OPF;SUNNNY;C639;2833.39;31/12/2019;102.67;290903.91
FR0000291239;PARIS;OPC;CPRASM;C639;45.16;31/12/2019;22302.93;1007234.35
FR0011540558;PARIS;OPC;VIVINV;C639;68.7;31/12/2019;1194.91;82084.36
LU0251658372;PARIS;OPC;AXAFUN;C639;107.54;31/12/2019;174.11;18723.83
FR0013453859;PARIS;EMT;BNPIBV;C639;358.1;31/12/2019;1000;358100.83
FR0013193679;PARIS;OPF;ALTARO;C639;16936.07;31/12/2019;104.04;1762028.88
FR0010707513;PARIS;OPC;SCHPRG;C639;594.44;31/12/2019;156.5;93029.45
LU1004132566;PARIS;OPC;INV MA;C639;28155.53;31/12/2019;10.66;300137.95
LU0641745681;PARIS;OPC;DNCA;C639;3473.86;31/12/2019;108.64;377400.41
FR0012316180;PARIS;OPC;DNCA;C639;612.35;31/12/2019;115.05;70451.27
LU0104885248;PARIS;OPC;PICTET;C639;1522.82;31/12/2019;324.71;494473.87
LU1379104976;PARIS;OPC;CLARES;C639;139.3;31/12/2019;127.57;17770.42
FR0011668730;PARIS;OPC;AMILTO;C639;1329.62;31/12/2019;122.01;162226.46
LU0216736503;PARIS;OPC;AXAFUN;C639;865.15;31/12/2019;238.09;205984.74
LU0161986921;PARIS;OPC;LOMBAR;C639;15282.77;31/12/2019;17.89;273408.81
XS1810778750;PARIS;EMT;GOLDSI;C639;83.16;31/12/2019;699.18;58143.21
FR0013463262;PARIS;EMT;BNPIBV;C639;75.97;31/12/2019;1000;75967.61
FR0013281375;PARIS;EMT;NATIIM;C639;110.75;31/12/2019;1022.24;113212.82
LU1670720033;PARIS;OPC;MGI;C639;24643.1;31/12/2019;13.93;343278.42
LU0171304552;PARIS;OPC;BLACK;C639;1162.77;31/12/2019;13.32;15488.16
FR0013305729;PARIS;SCI;TURGOT;C642;103186.27;15/12/2019;112.22;11579562.82
FR0011513563;PARIS;OPI;BNPPBR;C642;14977.68;31/12/2019;127.18;1904860.8
FR0010810507;PARIS;OPI;LAFAM;C642;1.41;31/12/2019;87966.43;124005.92
FR0011008762;PARIS;OPC;H2OAML;C642;2523.97;31/12/2019;325.88;822510.5
FR0007028824;PARIS;OPC;AESOGP;C642;191.3;31/12/2019;400.46;76607.88
FR0013319878;PARIS;EMT;SGCIB;C642;439.81;31/12/2019;1044.9;459556.31
LU1112751067;PARIS;OPC;VONTOB;C642;1119.66;31/12/2019;117.96;132074.53
LU0270905242;PARIS;OPC;PIASMA;C642;829.84;31/12/2019;226.74;188158.78
FR0010561415;PARIS;OPC;AMILTO;C642;1815.54;31/12/2019;277.33;503503.9
FR0007046123;PARIS;OPC;FUNDQS;C642;6832.44;31/12/2019;219.73;1501293.12
FR0010147603;PARIS;OPC;CARM;C642;2187.43;31/12/2019;234.46;512864.51
LU0303816887;PARIS;OPC;FIDELI;C642;10110.91;31/12/2019;17.92;181187.49
LU1240329380;PARIS;OPC;INV MA;C642;2125.29;31/12/2019;71.13;151172.16
FR0010158048;PARIS;OPC;NATIXI;C642;1119.46;31/12/2019;264.56;296163.74
FR0010241240;PARIS;OPC;HMG;C642;1011.16;31/12/2019;228.14;230685.09
FR0013457124;PARIS;EMT;BNPIBV;C642;396.54;31/12/2019;1037.8;411532.75
LU0254836850;PARIS;OPC;RICHEL;C642;207.15;31/12/2019;250.6;51910.97
FR0010291187;PARIS;OPC;WISEAM;C642;951.08;31/12/2019;128.19;121919.32
FR0013453859;PARIS;EMT;BNPIBV;C642;297.88;31/12/2019;1000;297880.68
FR0013429214;PARIS;EMT;NATIST;C642;83.46;31/12/2019;1025.05;85548.06
FR0013296233;PARIS;EMT;SGCIB;C642;1370.29;31/12/2019;1087.6;1490330.83
LU1883854942;PARIS;OPC;AMUNDI;C642;60.81;31/12/2019;219.85;13369.18
FR0011475086;PARIS;EMT;SGCIB;C642;122.68;31/12/2019;1303.2;159877.1
FR0010564245;PARIS;OPC;FUNDQS;C676;902.57;31/12/2019;113.18;102152.72
LU0823394852;PARIS;OPC;BNPPIP;C676;10.42;31/12/2019;158.59;1652.96
SE0000777724;PARIS;OPC;EASTCA;C676;14118.43;31/12/2019;6.96;98264.29
LU0592699093;PARIS;OPC;CARM;C676;611.74;31/12/2019;115.07;70393.03
FR0010614594;PARIS;OPC;ROTHS;C676;469.19;31/12/2019;288.49;135356.51
